id,classgrp,grpa,grpb,grpc,grpd,grpe,grpf,grpg,grph,grpi,grpj,grpk,grpl,grpm,grpn,grpo,grp1a,grp1b,grp1c,grp1d,grp1e,grp1f,grp1g,grp1h,grp1i,grp1j,grp1k,grp1l,grp1m,grp1n,grp1o,grp2a,grp2b,grp2c,grp2d,grp2e,grp2f,grp2g,grp2h,grp2i,grp2j,grp2k,grp2l,grp2m,grp2n,grp2o,grp3a,grp3b,grp3c,grp3d,grp3e,grp3f,grp3g,grp3h,grp3i,grp3j,grp3k,grp3l,grp3m,grp3n,grp3o,grp4a,grp4b,grp4c,grp4d,grp4e,grp4f,grp4g,grp4h,grp4i,grp4j,grp4k,grp4l,grp4m,grp4n,grp4o,classid
2040105,,2040148,,,,,,,,,,,,,,,2040148,2040109,2040126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040106,,2040148,2040147,2040143,,,,,,,,,,,,,2040106,2040148,2040147,2040136,,,,,,,,,,,,2040131,2040124,2040132,2040130,,,,,,,,,,,,2040101,2040114,2040118,2040111,,,,,,,,,,,,2040141,2040107,2040109,2040105,,,,,,,,,,,,20401
2040107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040108,,2040150,2040149,,,,,,,,,,,,,,2040150,2040149,2040111,2040105,2040106,2040144,,,,,,,,,,2040150,2040149,2040105,2040106,,,,,,,,,,,,2040105,2040149,,,,,,,,,,,,,,2040150,2040149,,,,,,,,,,,,,,20401
2040109,2,,,,,,,,,,,,,,,,2040109,2040126,2040103,2040132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040110,,2040116,,,,,,,,,,,,,,,2040102,2040137,,,,,,,,,,,,,,2040113,2040108,,,,,,,,,,,,,,2040120,2040125,,,,,,,,,,,,,,2040115,2040113,,,,,,,,,,,,,,20401
2040111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040112,2,,,,,,,,,,,,,,,,2040141,2040109,2040135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040113,1,2040139,2040115,2040141,,,,,,,,,,,,,2040131,2040124,2040130,2040125,2040132,,,,,,,,,,,2040106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040114,1,2040101,2040111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040115,1,2040110,2040139,2040113,2040140,,,,,,,,,,,,,2040106,2040147,2040108,2040143,,,,,,,,,,,2040115,2040139,2040113,2040140,,,,,,,,,,,,2040131,2040124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040116,,2040110,2040141,,,,,,,,,,,,,,2040110,,,,,,,,,,,,,,,2040148,,,,,,,,,,,,,,,2040101,2040141,2040109,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040117,,2040106,2040148,2040115,,,,,,,,,,,,,2040106,2040148,,,,,,,,,,,,,,2040115,2040149,,,,,,,,,,,,,,2040113,2040110,,,,,,,,,,,,,,2040116,2040134,,,,,,,,,,,,,,20401
2040118,1,2040131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040119,1,,,,,,,,,,,,,,,,2040122,,,,,,,,,,,,,,,2040122,2040127,,,,,,,,,,,,,,2040122,2040127,2040138,,,,,,,,,,,,,2040122,2040127,2040138,2040128,,,,,,,,,,,,20401
2040120,,,,,,,,,,,,,,,,,2040113,2040110,2040115,,,,,,,,,,,,,2040147,2040148,,,,,,,,,,,,,,2040121,2040137,,,,,,,,,,,,,,2040113,2040112,,,,,,,,,,,,,,20401
2040121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040122,1,2040128,2040127,2040138,2040119,,,,,,,,,,,,2040124,2040131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040123,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040124,,2040131,2040132,2040130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040125,,,,,,,,,,,,,,,,,2040132,2040124,2040131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040126,1,2040130,2040132,2040131,,,,,,,,,,,,,2040109,2040132,2040103,2040126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040127,1,2040128,2040122,2040138,,,,,,,,,,,,,2040128,,,,,,,,,,,,,,,2040122,,,,,,,,,,,,,,,2040138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040128,1,2040127,2040138,2040122,2040119,,,,,,,,,,,,2040122,2040119,,,,,,,,,,,,,,2040127,2040138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040129,1,2040123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040130,,2040132,2040131,2040124,2040126,2040125,,,,,,,,,,,2040127,2040122,2040119,2040138,,,,,,,,,,,,2040139,2040115,2040113,2040140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040132,,,,,,,,,,,,,,,,,2040125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040134,1,2040144,2040137,2040106,2040146,2040136,2040143,,,,,,,,,,2040144,2040137,,,,,,,,,,,,,,2040106,2040103,2040106,2040143,,,,,,,,,,,,2040116,2040115,2040103,,,,,,,,,,,,,2040135,,,,,,,,,,,,,,,20401
2040135,,2040144,2040108,2040152,,,,,,,,,,,,,2040144,2040108,2040152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040136,1,2040106,2040152,2040148,2040118,,,,,,,,,,,,2040108,2040105,2040137,2040147,,,,,,,,,,,,2040106,2040118,2040148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040137,,2040109,,,,,,,,,,,,,,,2040124,2040131,2040132,2040142,2040145,2040133,,,,,,,,,,2040147,2040106,2040108,2040117,2040136,,,,,,,,,,,2040137,2040134,2040144,,,,,,,,,,,,,2040113,2040139,2040115,2040110,,,,,,,,,,,,20401
2040138,1,2040111,2040101,2040118,2040114,,,,,,,,,,,,2040106,2040136,2040102,2040147,2040108,,,,,,,,,,,2040138,2040128,2040122,2040127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040142,1,2040145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040143,1,2040134,2040144,2040146,,,,,,,,,,,,,2040137,2040111,2040101,2040106,,,,,,,,,,,,2040113,2040115,2040139,,,,,,,,,,,,,2040103,2040118,2040107,,,,,,,,,,,,,2040143,2040134,2040144,2040146,,,,,,,,,,,,20401
2040144,1,2040134,2040137,2040143,2040115,,,,,,,,,,,,2040131,2040124,2040132,,,,,,,,,,,,,2040142,2040145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040145,,2040142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040146,1,2040134,,,,,,,,,,,,,,,2040134,2040143,,,,,,,,,,,,,,2040144,,,,,,,,,,,,,,,2040137,,,,,,,,,,,,,,,2040111,,,,,,,,,,,,,,,20401
2040147,,2040106,2040148,2040108,,,,,,,,,,,,,2040117,2040102,2040121,,,,,,,,,,,,,2040143,2040103,,,,,,,,,,,,,,2040105,2040114,,,,,,,,,,,,,,2040152,2040136,,,,,,,,,,,,,,20401
2040148,1,2040106,2040102,2040150,2040116,2040108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040150,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040152,1,,,,,,,,,,,,,,,,2040136,2040148,2040105,2040106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20401
2040201,1,2040244,2040208,2040203,,,,,,,,,,,,,2040244,2040225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040202,1,2040218,2040246,2040221,,,,,,,,,,,,,2040244,2040235,2040225,2040201,,,,,,,,,,,,2040214,2040212,2040210,2040241,,,,,,,,,,,,2040239,2040217,2040219,2040253,,,,,,,,,,,,2040205,2040250,2040203,2040243,,,,,,,,,,,,20402
2040203,1,2040221,2040205,2040209,,,,,,,,,,,,,2040221,2040240,,,,,,,,,,,,,,2040205,2040209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040204,2,2040253,2040219,,,,,,,,,,,,,,2040214,2040235,2040248,2040224,,,,,,,,,,,,2040221,2040217,2040253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040205,1,2040250,2040243,,,,,,,,,,,,,,2040203,2040221,,,,,,,,,,,,,,2040249,2040208,,,,,,,,,,,,,,2040214,2040246,,,,,,,,,,,,,,2040202,2040221,,,,,,,,,,,,,,20402
2040206,1,2040207,2040213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040207,,2040243,2040250,,,,,,,,,,,,,,2040205,2040209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040208,1,2040202,2040250,2040243,2040203,2040205,2040249,2040240,,,,,,,,,2040209,2040221,2040249,2040205,,,,,,,,,,,,2040250,2040208,2040243,2040203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040210,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040211,2,,,,,,,,,,,,,,,,2040254,2040244,2040225,,,,,,,,,,,,,2040257,2040232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040212,1,2040204,2040202,,,,,,,,,,,,,,2040204,,,,,,,,,,,,,,,2040202,,,,,,,,,,,,,,,2040238,,,,,,,,,,,,,,,2040203,,,,,,,,,,,,,,,20402
2040213,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040214,,2040210,2040241,2040248,,,,,,,,,,,,,2040210,2040248,2040241,,,,,,,,,,,,,2040205,2040250,,,,,,,,,,,,,,2040249,2040203,,,,,,,,,,,,,,2040238,,,,,,,,,,,,,,,20402
2040215,1,2040240,2040210,2040241,2040220,,,,,,,,,,,,2040207,2040243,2040206,,,,,,,,,,,,,2040220,2040256,2040238,,,,,,,,,,,,,2040249,2040250,,,,,,,,,,,,,,2040248,2040214,,,,,,,,,,,,,,20402
2040216,,2040253,2040219,,,,,,,,,,,,,,2040219,2040253,,,,,,,,,,,,,,2040231,2040244,,,,,,,,,,,,,,2040246,,,,,,,,,,,,,,,2040245,2040240,,,,,,,,,,,,,,20402
2040217,,2040253,2040216,2040204,,,,,,,,,,,,,2040253,2040216,2040204,,,,,,,,,,,,,2040241,2040210,2040214,,,,,,,,,,,,,2040221,2040207,,,,,,,,,,,,,,2040246,2040202,,,,,,,,,,,,,,20402
2040218,1,2040213,2040202,,,,,,,,,,,,,,2040202,,,,,,,,,,,,,,,2040230,,,,,,,,,,,,,,,2040240,,,,,,,,,,,,,,,2040208,,,,,,,,,,,,,,,20402
2040219,,2040253,2040204,,,,,,,,,,,,,,2040203,2040205,2040221,,,,,,,,,,,,,2040239,2040212,2040238,,,,,,,,,,,,,2040202,2040218,2040213,,,,,,,,,,,,,2040246,2040247,2040250,,,,,,,,,,,,,20402
2040220,1,2040238,2040256,,,,,,,,,,,,,,2040256,,,,,,,,,,,,,,,2040215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040221,,2040249,2040203,2040208,2040246,,,,,,,,,,,,2040249,,,,,,,,,,,,,,,2040203,,,,,,,,,,,,,,,2040208,,,,,,,,,,,,,,,2040246,,,,,,,,,,,,,,,20402
2040222,1,2040230,,,,,,,,,,,,,,,2040224,2040235,2040236,,,,,,,,,,,,,2040247,2040228,2040245,,,,,,,,,,,,,2040244,2040225,2040235,2040214,,,,,,,,,,,,2040202,2040214,2040253,2040217,,,,,,,,,,,,20402
2040223,1,2040226,2040237,2040252,2040258,,,,,,,,,,,,2040258,2040226,2040252,,,,,,,,,,,,,2040236,2040257,2040254,,,,,,,,,,,,,2040237,2040233,2040229,,,,,,,,,,,,,2040227,2040231,2040201,,,,,,,,,,,,,20402
2040224,1,2040235,2040236,,,,,,,,,,,,,,2040244,2040225,2040201,2040226,2040229,2040258,,,,,,,,,,2040245,2040228,2040233,2040242,2040222,2040247,,,,,,,,,,2040250,2040243,2040208,2040249,,,,,,,,,,,,2040248,2040202,2040246,,,,,,,,,,,,,20402
2040225,1,2040244,2040245,2040254,2040242,,,,,,,,,,,,2040245,2040244,2040254,2040247,,,,,,,,,,,,2040244,2040226,2040229,2040242,2040254,2040258,2040224,,,,,,,,,2040254,2040244,2040224,2040258,,,,,,,,,,,,2040214,2040204,2040246,,,,,,,,,,,,,20402
2040226,1,2040258,2040223,2040252,,,,,,,,,,,,,2040258,2040223,2040252,2040229,,,,,,,,,,,,2040244,2040225,2040201,2040254,,,,,,,,,,,,2040228,2040227,2040231,,,,,,,,,,,,,2040237,2040233,2040247,,,,,,,,,,,,,20402
2040227,1,2040232,2040257,2040255,,,,,,,,,,,,,2040232,2040257,,,,,,,,,,,,,,2040231,2040255,,,,,,,,,,,,,,2040244,2040225,,,,,,,,,,,,,,2040247,2040236,,,,,,,,,,,,,,20402
2040228,2,,,,,,,,,,,,,,,,2040242,2040233,2040245,2040244,2040254,2040234,,,,,,,,,,2040247,2040245,2040246,2040244,2040225,,,,,,,,,,,2040244,2040225,2040235,2040214,,,,,,,,,,,,2040224,2040236,2040235,,,,,,,,,,,,,20402
2040229,2,,,,,,,,,,,,,,,,2040244,,,,,,,,,,,,,,,2040254,,,,,,,,,,,,,,,2040216,,,,,,,,,,,,,,,2040226,,,,,,,,,,,,,,,20402
2040230,1,2040254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040231,,2040227,2040255,2040216,,,,,,,,,,,,,2040227,2040255,2040232,,,,,,,,,,,,,2040244,2040225,2040235,2040214,,,,,,,,,,,,2040212,2040239,2040204,,,,,,,,,,,,,2040222,2040202,2040247,,,,,,,,,,,,,20402
2040232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040233,,2040231,2040224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040233,1,2040242,2040236,2040254,2040237,,,,,,,,,,,,2040242,2040236,,,,,,,,,,,,,,2040245,2040224,,,,,,,,,,,,,,2040237,2040224,,,,,,,,,,,,,,2040236,2040224,,,,,,,,,,,,,,20402
2040234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040235,,2040236,2040224,2040244,2040225,,,,,,,,,,,,2040224,2040236,,,,,,,,,,,,,,2040244,2040225,,,,,,,,,,,,,,2040254,2040242,,,,,,,,,,,,,,2040247,2040222,,,,,,,,,,,,,,20402
2040236,1,,,,,,,,,,,,,,,,2040223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040238,1,2040220,2040207,,,,,,,,,,,,,,2040232,2040227,2040257,,,,,,,,,,,,,2040243,2040250,2040205,,,,,,,,,,,,,2040235,2040244,2040225,,,,,,,,,,,,,2040214,2040210,2040241,,,,,,,,,,,,,20402
2040239,1,2040219,2040212,,,,,,,,,,,,,,2040219,,,,,,,,,,,,,,,2040212,,,,,,,,,,,,,,,2040212,,,,,,,,,,,,,,,2040219,,,,,,,,,,,,,,,20402
2040240,1,2040215,2040213,2040211,,,,,,,,,,,,,2040243,2040250,2040203,2040218,,,,,,,,,,,,2040208,2040213,2040215,,,,,,,,,,,,,2040250,2040248,,,,,,,,,,,,,,2040246,2040249,,,,,,,,,,,,,,20402
2040241,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040242,2,,,,,,,,,,,,,,,,2040243,2040250,2040208,,,,,,,,,,,,,2040245,2040247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040243,,2040250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040244,1,2040225,2040201,2040226,2040224,2040242,2040254,2040229,2040258,,,,,,,,2040224,2040236,2040235,,,,,,,,,,,,,2040242,2040254,2040228,,,,,,,,,,,,,2040214,2040246,2040216,,,,,,,,,,,,,2040208,2040243,2040205,,,,,,,,,,,,,20402
2040245,1,2040247,2040244,2040201,2040228,2040233,2040242,,,,,,,,,,2040244,2040225,2040201,2040226,2040229,,,,,,,,,,,2040259,2040229,2040223,2040226,,,,,,,,,,,,2040232,2040257,2040227,2040231,2040255,,,,,,,,,,,2040224,2040236,2040235,,,,,,,,,,,,,20402
2040246,1,2040216,2040204,2040248,,,,,,,,,,,,,2040253,2040222,2040228,,,,,,,,,,,,,2040231,2040247,2040245,2040250,,,,,,,,,,,,2040209,2040221,2040249,2040205,,,,,,,,,,,,2040237,2040233,2040236,2040232,,,,,,,,,,,,20402
2040247,,2040228,2040236,2040245,2040246,,,,,,,,,,,,2040259,2040229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040248,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040250,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040251,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040252,,2040258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040254,,2040242,2040245,2040229,,,,,,,,,,,,,2040229,,,,,,,,,,,,,,,2040242,,,,,,,,,,,,,,,2040204,2040219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040255,1,2040254,2040227,2040231,,,,,,,,,,,,,2040232,2040257,,,,,,,,,,,,,,2040201,2040230,2040227,,,,,,,,,,,,,2040254,2040244,2040242,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040257,1,2040227,2040232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040258,1,2040252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040259,,2040226,2040223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20402
2040301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
2040327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20403
